DRUG,TIMES_USED,DOSE_VAL_RX
*NF* Argatroban,192993,
Kaolin,192993,
DimenhyDRINATE,192993,
Cortroysn,192993,
Mesalamine DR,192993,
sodium bic,192993,
asp,192993,
Tracleer,192993,
Temozolomide,192993,
MCT Oil,192993,
Orthopedic Solution,192993,
*NF* Levocarnitine,192993,
Amlodipine,192993,
tri,192993,
Metoprolol,192993,
Fenofibrate,192993,
Levalbuterol Neb,143465,
Gentamicin Sulfate,143465,
ASA,143465,
 Cabergoline     ( Dostinex),143465,
Nitroglycerin Oint. 2%,143465,
Hyoscyamine,143465,
Lactobacillus Rhamnosus (GG),143465,
Peppermi,143465,
Streptomycin Sulfate,143465,
Sodium Polystyrene Sulfonate,143465,
Dapsone,143465,
NEO*PO*Ferrous Sulfate Elixir,143465,
NEO*PO*Caffeine Citrate,143465,
Entocort EC,143465,
Fluoxetine HCl,143465,
Caspofungin Desensitization,143465,
simvastatin or placebo,143465,
D5W (GLASS BOTTLE),143465,
Vicodin ,143465,
Stavudine,143465,
Methadone PCA,143465,
Fentanyl Patch,143465,
Nephro-Vite,143465,
Syringe (Intrathecal),143465,
Morphine Sulfate (2-6mg),143465,
Teriparatide,143465,
Collagenase Ointment,143465,
Cytra-2,143465,
Dopamine Hcl,143465,
moxifloxacin,143465,
Rofecoxib,143465,
Cyclosporine Modified (Neoral),143465,
Gemcitabine,143465,
Theophylline SR,143465,
Edrophonium Chloride,143465,
Dovonex,143465,
Calcitri,143465,
Lidocaine 1% ,143465,
Potassium Chl 20 mEq / 1000 mL D5W,143465,
Nelfinavir Mesylate,143465,
Zelnorm (tegaserod),143465,
HYDROmorphone P.F.,143465,
Polymyxin B Sulfate,143465,
Paromomycin,143465,
iron,143465,
Symlin,143465,
donepezil 5 mg or placebo,143465,
Prelone,143465,
Dilaudid,143465,
Apidra,143465,
Labetalol,143465,
Durezol 0.05% drops,143465,
Methadone,143465,
cet,143465,
Namenda,143465,
Diphenhydramine HCl 2%,143465,
Prismasate (B22 K4),143465,
zinc oxide,143465,
*NF* Glycopyrrolate,143465,
Sterile Diluent for Flolan,143465,
Hydrocortisone Cream 2.5%,143465,
PENTObarbital Sodium,143465,
Atorvastatin study drug,143465,
Restasis,143465,
Systane,143465,
Cetirizine-Pseudoephedrine,143465,
Cyclosporine,143465,
Fish Oil (Omega 3),143465,
Dilantin Infatabs,143465,
HYDROmorphone (Dilaudid),143465,
Valproic acid (Depakene brand),143465,
Multivitamins,143465,
Metformin,143465,
Meropenem,143465,
entacapone,143465,
Prochlorperazine,143465,
Ibuprofen,143465,
SW,143465,
Sertraline,143465,
*NF* Temozolomide,143465,
Isotonic Sodium Chloride,143465,
Tirofiban,143465,
Actonel,143465,
Zonegran,143465,
felbamate,143465,
Neostigmine,143465,
Vancomycin,143465,
Aquaphor Ointment,142241,
NEO*IV*Levothyroxine,142241,
L-Hyoscyamine,142241,
Citric Acid/Sodium Citrate,142241,
Nystatin Oral,142241,
Dexa,142241,
Nicoderm CQ,142241,
Verapa,142241,
Ondansetron,142241,
Balsalazide,142241,
Budesonide,142241,
Culturelle,142241,
Belladonna Alk-Phenobarbital,142241,
Pralidoxime Chloride,142241,
ValGANCIclovir Oral Solution,142241,
Tobramycin Sulfate,142241,
Cepacol (Menthol),142241,
Calcium Acetate,142241,
NEO*PO*Poly-VI-solution,142241,
galantamine,142241,
Albuterol,142241,
SODIUM,142241,
Phillips Milk of Magnesia,142241,
Vicks Vapor Inhaler,142241,
Orabase w/ Benzocaine Paste,142241,
Dexrazoxane,142241,
Multiv,142241,
Albumin 5% (25 g),142241,
Guaifenesin-Codeine Phosphate,142241,
lapatinib,142241,
Epinephrine,142241,
Levothyroxine Sodium,142241,
Clopidogrel Bisulfate,142241,
Soln,142241,
Artificial Tears,142241,
Penicillin G K Desensitization,142241,
rasagiline,142241,
valp,142241,
5% Dextrose (EXCEL BAG),142241,
Buspirone,142241,
Gentamicin ,142241,
Naltrexone,142241,
Lorazepam 2mg syringa,142241,
Azacitidine,142241,
Valganciclovir HCl Suspension,142241,
valproate,142241,
Fentora,142241,
Lamotrig,142241,
Phenobarbital Sodium,142241,
Acetylcysteine 20%,142241,
coenzyme Q10  200mg,142241,
Amaryl,142241,
Magnesium Oxide,142241,
Diphenhydramine HCl,142241,
Mupirocin 2% Cream,142241,
lamoTRIgine,142241,
TACROLIMUS,142241,
Bisacodyl,142241,
*NF* Cefotaxime,142241,
Vincristine Sulfate,142241,
Morphine PCA,142241,
Amylase/Lipase/Protease,142241,
Biscolax,142241,
valproi,142241,
Zelnorm,142241,
Amino Acids 5%-Dextrose 15%,142241,
Aspirin 81 mg /Placebo,142241,
Treprostinil Sodium,142241,
NEO*IV*Zidovudine,142241,
Leuprolide Acetate,142241,
Benzocaine 20% Spray,142241,
Vancomycin ,142241,
SEROquel XR,142241,
Neo*PO*Vitamin E TPGS 26.7 Unit/ml,142241,
Epinephrin,142241,
Venlafax,142241,
Vancocin,142241,
TOBRAM,142241,
Elidel,142241,
Nystatin ,142241,
Fomepizole,142241,
Arsenic Trioxide *NF*,142241,
Dexamethasone Intensol,142241,
HumuLIN N,142241,
Insulin Human Regular,142241,
Propantheline Bromide,142241,
Insulin Reg Human (NovoLIN R),142241,
Norflex,142241,
lidoc,142241,
Ezetimibe,142241,
Idarubicin HCl,142241,
Provigil,142241,
Epoetin Alfa,142241,
Bicalutamide,142241,
PrevACID 24Hr,142241,
Alemtuzumab,142241,
Diltiaz,142241,
UroxaTRAL,142241,
fish oil,142241,
Syringe (Neonatal),142241,
NEO*IV*Hydrocortisone (1mg/mL),142241,
Chloroprocaine 3% MPF,142241,
Acidophilus-B.bifidum-B.longum,142241,
NEO*PO*Ursodiol,142241,
NEO*PO*Dexamethasone,142241,
NEO*PO*Spironolactone,142241,
AcetaZOLAMIDE,142241,
Ipratropium Bromide Neb,142241,
Moxifloxacin HCl,142241,
Lidocaine Viscous 2%,142241,
Albumin 25% (12.5gm),142241,
Levalbuterol (Xopenex),142241,
Captopril,142241,
Betaxolol,142241,
Nifedipine,142241,
0.9% Sodium Chloride,142241,
Ketamine ,142241,
Gamunex/GammaKED,142241,
Pindolol,142241,
Tobramycin-Dexamethasone Ophth Susp,142241,
NEO*PO*Furosemide (10mg/1ml),142241,
Albuterol 0.5%,142241,
Ethanol 70% Catheter Lock,142241,
Heparin Flush (1000 units/ml),142241,
Clindamycin,142241,
DiCLOXacillin,142241,
fentaNYL,142241,
Enema Disposable,142241,
Azacitidine (Subcut),142241,
Risendronate sodium (Actonel),142241,
Pilocarpine HCl,142241,
Dasatanib (Sprycel) **CHEMO**,142241,
TRISODIUM CITRATE 4% REPLACEMENT FLUID (Dialysis),142241,
Famotidine (PO),142241,
Quinidine Gluconate E.R.,142241,
Potassium Chloride,142241,
Heparin Dwell (1000 Units/mL),142241,
"Albumin, Human",142241,
0.83% Sodium Chloride,142241,
CefazoLIN Desensitization,142241,
Oxycodone,142241,
Atropine Sulfate,142241,
Heparin (Porcine),142241,
Amitiza,142241,
JANUVIA,142241,
Heparin Flush PICC (100 units/ml),142241,
Warf,142241,
Epinephrine 1:1000,142241,
TRAVATAN Z,142241,
Nicotine Patch,142241,
Sulfameth/Trimethopri,142241,
Alphagan P,142241,
Penicillamine,142241,
Fludarabine Phosphate,142241,
arginine (L-arginine),142241,
Syringe (Sterile Water),142241,
Valproate Sodium,142241,
Metoclopramide,142241,
potassium ch,142241,
citrate,142241,
Vitamin B Complex,142241,
Sevelamer HCl,142241,
Carbamazepine (Extended-Release),142241,
BuPROPion ,142241,
Isradipine,142241,
Salivart,142241,
Caphosol,142241,
Prilosec OTC,142241,
Glyset,142241,
Tacrolimus Suspension,142241,
Prilosec,142241,
Tizanidine,142241,
Sulindac,142241,
Zantac Maximum Strength,142241,
Anti-Thymocyte Globulin (Rabbit) Desensitization,142241,
valpro,142241,
Trifluoperazine HCl,142241,
Avonex,142241,
Amino Acids 4.25%-Dextrose 5%,142241,
Docusate Sodi,142241,
Zonisamide,142241,
Megestrol,142241,
Terconazole 80mg Vag. Supp,142241,
Nitroglycerin,142241,
Fluocinolone Acetonide 0.01% Solution,142241,
Lidocaine Jelly 2% (Urojet),142241,
Viokase,142241,
MENINGOcoccal Vaccine,142241,
Influenza Virus Vaccine,142241,
Sulfacetamide 10% Ophth Soln.,142241,
Aspirin Desensitization,142241,
Morphine Su,142241,
nephro,142241,
Betamethasone Valerate 0.1% Ointment,142241,
diltia,142241,
Morphine Sulfat,142241,
Nalbuphine HCl,142241,
NS Syringe (Intrapleural),142241,
Aluminum-Magnesium Hydroxide,142241,
Valtrex,142241,
Anastrozole,142241,
dibucaine,142241,
Humibid,142241,
NEO*PO*Nystatin Suspension,142241,
Sulfameth/Trimet,142241,
D5W,142241,
Metoprolol Tartrate,142241,
Propoxyphene HCl,142241,
ALPRAZolam,142241,
tobramycin,142241,
Carbamazepine XR,142241,
Proplex T,142241,
0.45% Sodium Chloride,142241,
Morphine Sulfate (Syringe),142241,
sunitinib,142241,
PHENObarbital,142241,
Unithroid,142241,
raloxifene,142241,
Chlorpropamide,142241,
Risedronate Sodium,142241,
Sulfamethoxazole-Trimethoprim,142241,
Morphine (PF),133122,
ZyPREXA Zydis,133122,
MethylPREDNISolone Sod Succ ,133122,
Creon 20,133122,
Decitabine,133122,
Remeron SolTab,133122,
Derma-Smoothe/FS Scalp Oil,133122,
Rozerem,133122,
D5W W 0.2% Albumin,133122,
Chlorothiazide Sodium,133122,
Calcipotriene 0.005% Cream,133122,
Furosemide,133122,
Acetylcysteine ,133122,
Colistimethate Sodium,133122,
Agrylin,133122,
Clindamycin Hcl,133122,
dextr,133122,
Isosorbi,133122,
Centrum,133122,
CarafATE,133122,
Atropine Sulfate 1%,133122,
Vinblastine Sulfate,133122,
Multivitamins W/minerals,133122,
Bosentan,133122,
*NF* Diazoxide Suspension,133122,
Iquix,133122,
albuterol sulfate,133122,
Januvia,133122,
Lipram-CR5,133122,
OxycoDONE ,133122,
Camphor-Menthol,133122,
VinCRIStine,133122,
multi,133122,
Rifampin,133122,
Quinapril,133122,
Sutent,133122,
NEO*IV*Caffeine Citrate,133122,
Albumin,133122,
Lactaid,133122,
Vi-Daylin Multivitamin Drops,133122,
Claritin,133122,
Phenobarbital,133122,
Mycostatin,133122,
Zomig 2.5mg ODT tabs,133122,
Lidocaine Viscous,133122,
Ketamine Study Drug (*IND*),133122,
Paclitaxel,133122,
Sulfameth,133122,
Cephalexin Suspension,133122,
Megestrol Acetate,133122,
Timolol Maleate 0.5%,133122,
methylphenidate SR ,133122,
Midodrine HCl,133122,
Hepar,133122,
Ipratropium Bromide MDI,133122,
Potassium Acetate,133122,
Vasopressin,133122,
ACCUZYME,133122,
Triazolam,133122,
Famvir,133122,
Mercaptopurine,133122,
Domeboro,133122,
insuli,133122,
Anusol Ointment 1%,133122,
Enfuvirtide,133122,
Sodium Bicarbonate 4.2% (2.4meq),133122,
Valganciclovir Hcl,133122,
Malarone,133122,
Mexiletine HCl,133122,
Posaconazole Suspension,133122,
*NF* Pediatric Vitamins ADC,133122,
Medroxyprogesterone Acetate,133122,
Sulfadiazine,133122,
tetrabenazine (Xenazine) 25mg tab,133122,
Charcoal-Sorbitol,133122,
Potassium Chloride (Powder),133122,
NEOMYCIN_POLYMYXIN_BACITRACIN,133122,
bactr,133122,
Vytorin 10/20,133122,
Trilipix,133122,
Zytiga,133122,
sevela,133122,
MICRONEFRIN,133122,
Esmolol,133122,
degarelix,133122,
Tobramycin,133122,
*NF* Iopanoic Acid,133122,
Risperidone Oral Solution,133122,
Nicardipine,133122,
Moxifloxacin,133122,
Triamcinolone Acetonide 0.1% Ointment,133122,
NEO*PO*Ca Glubionate 23mg Ca/ml,133122,
Transplant Self Medication Program,133122,
Carbidopa-Levodopa,133122,
riluzole,133122,
Fluticasone Propionate Nasal,133122,
HumuLIN R,133122,
GlyBURIDE,133122,
Elmiron,133122,
chlorzoxazone,133122,
*NF* Interferon Alfacon-1,133122,
Lithium Carbonate CR,133122,
LeVETiracetam Oral Solution,133122,
Chlordiazepoxide HCl,133122,
mylanta,133122,
Revatio (sildenafil),133122,
cortroysn,133122,
Skelaxin,133122,
Bacitracin-Polymyxin Ointment,133122,
Minoxidil,133122,
Tropicamide 0.5% Ophth Soln,133122,
N-Acetylcysteine Study Drug,133122,
UROXATRAL,133122,
Guaifenesin-CODEINE Phosphate,133122,
Divalproex Sodium ER,130147,
Rocuronium Bromide,130147,
Bactroban,130147,
Cystospaz,130147,
bisopro,130147,
Isordil Titradose,130147,
Halcion,130147,
bisopr,130147,
CycloSPORINE Modified (Eon Labs),130147,
Lidocaine Topical,130147,
TOLVAPTAN,130147,
Astelin,130147,
Niacin ,130147,
Lithium Citrate (Syrup),130147,
Sodium Chloride 0.45% Flush,130147,
Remifentanil HCl,130147,
D5 1/4NS,130147,
D25W,130147,
Carisoprodol,130147,
Hydromorphone PCA,130147,
Fleet enema,130147,
Mesna,130147,
Ifosfamide,130147,
*NF* Gelclair,130147,
Fentanyl PCA,130147,
Oseltamivir,129731,
Budesonide ,129731,
Biaxin,129731,
Budesonide (Bulk),129731,
Sitagliptin,129731,
simvastatin,129731,
Carbamazepine Suspension,129731,
Tylenol Meltaways,129731,
Ortho Tri-Cyclen Lo,129731,
Defibrotide (IND),129731,
Osmoglyn,129731,
Fluconazole (Self Med),129731,
Dobutamine,129731,
CGT003-03 E2F Decoy ,129731,
SODIUM BICAR,129731,
Heparin ,129731,
Robitussin Chest Congestion,129731,
metformin (FORTAMET),129731,
Nizatidine,129731,
Fat Emulsion 10%,129731,
GLIMEPIRIDE (AMARYL),129731,
Morphine Concentrate,129731,
*NF* Paroxetine CR,129731,
*NF* Digoxin (Lanoxicaps),129731,
RHINOCORT NASAL INHALER,129731,
Dutasteride,129731,
synt,129731,
Hydrocortisone Na Succ,129731,
Co-syntropin,129731,
NuvaRing(etonogestrel/ethinyl estradiol,129731,
METFORMIN XR,129731,
Sodium Chloride (23.4%) Kit,129731,
Sensipar,129731,
Esterified Estrogen (Menest),129731,
INO-1001 Study Drug  *IND*,129731,
LIDODERM PATCHES 3.5%,129731,
ChlorproPAMIDE,129731,
Cartia XT,129731,
Sulfinpyrazone,129731,
dextrose,129731,
Nicotrol,129731,
Cepacol,129731,
Clotrimazole 1% Vaginal Crm,129731,
Tarceva(erlotinib),129731,
Pregabalin,129731,
Dextros,129731,
Zarontin,129731,
Peginterferon Alfa-2a,129731,
cellcept,129731,
ALL PURPOSE NIPPLE OINTMENT,129731,
Questran,129731,
Estradiol,129731,
Talc (Sterile),129731,
TISSEEL/ FS VH SD,129731,
Abreva,129731,
Folplex 2.2,129731,
Morphine Sulfate (0.5-4mg),129731,
Proventil,129731,
Lidocaine jel,129731,
Cipro HC OTIC Suspension,129731,
Salmon Oil-1000,129731,
glucoph,129731,
Artificial Saliva,129731,
Bethanechol,129731,
Voltaren-XR,129731,
Quetiapine extended-release,129731,
Exelon,129731,
Renagel,129731,
*NF* Dolasetron Mesylate,129731,
Bimatoprost (Lumigan),129731,
NEO*IV*Penicillin G Potassium,129731,
Ethezyme,129731,
Ketamine HCl,129731,
Sod Citrate-Citric Acid,129731,
Aspirin-Caffeine-Butalbital,129731,
colesevelam,129731,
Lipram-PN20,129731,
sodium Bicarb,129731,
Albumin 25%,129731,
Thiopental Sodium,129731,
Isoproterenol HCl,129731,
Ativan,129731,
Insulin Lispro (Human),129731,
Antihemophilic Factor,129731,
Antihemophilic Factor (Recombinant),129731,
Naphazoline-Antazoline,129731,
Ketotifen Fumarate (Bulk),129731,
GlycoLax,129731,
Sulfameth/T,129731,
Hep B-DPAT-Polio Vaccine,129731,
aminoc,129731,
Amiod,129731,
metoLAZOne,129731,
permethrin,129731,
Olmesartan,129731,
Aminocaproic ,129731,
oxymetazoline,129731,
 Zaditor Ophthalmic,129731,
Belladonna-Opium,129731,
Zestoretic,129731,
Ofloxacin,129731,
Hydrocodone-Acetaminophen (5mg-500mg),129731,
Cipro HC,129731,
Arava,129731,
Castor Oil,129731,
Pancuronium Bromide (NICU),129731,
Pancuronium Bromide,129731,
NEO*IV*Morphine Sulfate,129731,
Isosorbide Mononitrate ,129731,
imatinib,129731,
Influenza A (H1N1) Vaccine,129731,
Gluco Sulfate NaCl-Chond Su Na,129731,
Phenylephrine 2.5 %,129731,
*NF* Enfuvirtide,129731,
Cyproheptadine,129731,
Ephedrine Sulfate (Pressors),129731,
insulin pump,129731,
Mestinon SR,129731,
Bupivacaine ,129731,
corti,129731,
DEXTROSE 50%,129731,
viread,129731,
Ethiodol,129731,
Neomycin-Polymyxin-,129731,
Pentamidine ,129731,
Pemoline,129731,
gentian violet,129731,
*NF* Adefovir (HepSera),129731,
Febuxostat,129731,
VALP,129731,
Methylprednisolone ,129731,
Quinupristin/Dalfopristin,129731,
Heparin Flush Port (10 units/mL),129731,
clobetisol propionate ointment ,129731,
Dextrose 5%,129731,
Diphenhydramine Liquid,129731,
PredniSONE (Self Med),129731,
Theophylline SR (Theo-Dur),129731,
Aveeno Colloidal,129731,
hep,129731,
Dilantin,129731,
guaiFENesin AC,129731,
Zyflo,129731,
Nystatin-Triamcinolone Cream,129731,
HYOS,129731,
Sodium Chloride 3% Inhalation Soln,129731,
ValGANCIclovir (Self Med),129731,
Irbesartan,129731,
Aricept,129731,
HYDROmorphone Solution,129731,
Cyclobenzaprine HCl,129731,
dabigatran etexilate,129731,
Epi,129731,
Cyproheptadine HCl,129731,
Lysodren,129731,
Valproic Acid (as Sodium salt),129731,
bactri,129731,
acyclovir 400 mg or placebo,129731,
Guai,129731,
Amiodarone,129731,
Lescol,129731,
Lidoderm,129731,
Pentobarbital Sodium,129731,
Physostigmine Salicylate,129731,
K-DUR,129731,
Critic-Aid Clear,129731,
Lidocaine 1%,129731,
Indapamide,129731,
Albuterol-Ipratropium,129731,
Bacitracin ,129731,
Cladribine,129731,
250 mL Bottle,129731,
Acetylcysteine (IV),129731,
Calan SR,129731,
Carbidopa-Levodopa (25-250),129731,
Emend,129731,
ERYTHROMYCIN,129731,
Felodipine,129731,
Aminocaproic Acid,129731,
Citracal + D,129731,
Tretinoin 0.025% Cream,129731,
Sodium Acetate,129731,
Sinemet,129731,
Vancomycin Oral Liquid,129731,
Glycerin 50%,129731,
Iloprost,129731,
CellCept,129731,
Hydroxychloroquine,129731,
Amerge,129731,
Salmeterol,129731,
Oxazepam,129731,
Iso-Osmotic Sodium Chloride,129731,
Olanzapine,129731,
*NF* Valsartan,129731,
Tigecycline,129731,
Hepa,129731,
Citrate Dextrose 3% (ACD-A) CRRT,129731,
Cyanocobalamin,129731,
Mul,129731,
Lidocaine 4% MPF,129731,
Gua,129731,
Lactobacillus Acidophilus,129731,
Simethicone,129731,
Calcium Gluconate Replacement (Critical Care and Oncology),129731,
famciclovir,129731,
Repliva 21/7 (New Formulation),129731,
Pramoxine-Mineral Oil-Zinc,129731,
Oxymetazoline HCl,129731,
ZyrTEC,129731,
Trihexyphenidyl HCl,129731,
cepacol,129731,
Budesonide-Formoterol,129731,
Calciu,129731,
LeVETiracetam,129731,
Oxycodone Liquid,129731,
Ondansetron ODT,129731,
Dexamethasone Sod Phosphate,129731,
formoterol fumarate,129731,
Fosfomycin Tromethamine,129731,
anagrelide,129731,
Neo*IV*MetronidAZOLE,129731,
Simvastatin or Placebo (*IND*),129731,
Metoprolo,129731,
Ocuvite PreserVision,129731,
Heparin flush,129731,
Ranitidine ,129731,
*NF* Caspofungin Acetate,129731,
Ciprofloxacin HCl,129731,
Chloraseptic Throat Spray,129731,
"Preservision (lutein, vit c, vit e, zinc, copper)",129731,
GlipiZIDE XL,129731,
morphine,129731,
MethylPREDNISolone Sodium Succ,129731,
NEO*PO*Folic Acid,129731,
OLANZapine (Disintegrating Tablet),129731,
Thiamine,129731,
2,129731,
Lamotrigine,129731,
OxycoDONE (Immediate Release),129731,
PROCARDIA XL,129731,
*NF* Benzoyl Peroxide 5% Wash,129731,
albumin,90427,
Bimatoprost,90427,
Digitek,90427,
Nitrofurantoin,90427,
NiCARdipine IV,90427,
Pneumococcal 7-Valent,90427,
dilan,90427,
ALBUMIN,90427,
Trimethoprim,90427,
Pulmicort neb,90427,
Oseltamivir Phosphate,90427,
Dexameth,90427,
AMIODARONE,90427,
CISplatin,90427,
Sodium Bicarbonate,90427,
Procardia XL,90427,
Heparin Flush,90427,
Dextromethorphan-Guaifenesin (Sugar Free),90427,
Carbamazepine ,90427,
Methyl Salicylate-Menthol Ointment,90427,
Coumadin,90427,
Amiodarone Oral Suspension,90427,
De,90427,
Gentamicin 0.1% Cream,90427,
Nadolol,90427,
NEO*PO*Potassium Chloride,90427,
MYCOPHENOLATE MOFETIL 250MG OR PLACEBO CAPS,90427,
Ipratropium Bromide ,90427,
NEO*PO*SODium Chloride,90427,
Pyrid,90427,
Phyton,90427,
Granulex,90427,
Tiazac,90427,
Ketorolac TroMETHamine,90427,
Peramivir,90427,
Calcium ,90427,
Potassium Chl 40 mEq / 1000 mL NS,90427,
NEO*IV*Phenobarbital,90427,
Hydromorphone HCl,90427,
Testosterone Cypionate,90427,
CeftriaXONE Desensitization,90427,
aspir,90427,
Pyridoxine,90427,
Verelan PM,90427,
NEO*PO*Acetazolamide (10mg/1ml),90427,
Methocarbamol,90427,
Levemir,90427,
Rivaroxaban,90427,
Junel FE 1.5/30 (28),90427,
Azmacort,90427,
Piperacillin-Tazobactam Na,90427,
Morphine Sulfate (PF),90427,
Glucosamine,90427,
Lamictal,90427,
liothyronine,90427,
Procarbazine HCl,90427,
NS (Syringe),90427,
cyclo,90427,
*NF* Beclomethasone Dipropionate Inhalation,90427,
Gleevec,90427,
Aspirin Childrens,90427,
DOCEtaxel (TaxoTERE),90427,
Heparin Flush Midline (100 units/ml),90427,
Cefuroxime Sodium,90427,
Ephedrine,90427,
Amphetamine Salt Combo,90427,
Mesalami,90427,
Cefepime Desensitization,90427,
Nephramine 2.7%,90427,
Digoxin Elixir,90427,
*NF* Epirubicin,90427,
leucovorin calcium,90427,
Latuda (Lurasidone),90427,
"Bottle, Glass",90427,
mometasone,90427,
D10W,90427,
Thymoglobulin (IND),90427,
rocuro,90427,
Fosphenytoin,90427,
Adcirca,90427,
